pool,n_sesion,fecha,droga,dosis,ID,hora_inicio,hora_termino,n_licometro,estimulo_spout_1,estimulo_spout_2,licks_inicio_spout_1,licks_inicio_spout_2,licks_fin_spout_1,licks_fin_spout_2,eventos_inicio_spout_1,eventos_inicio_spout_2,eventos_fin_spout_1,eventos_fin_spout_2,ml_consumidos_spout_1,ml_consumidos_spout_2
unc_pool_4,1,2023 06 03,na_na_na_na,0_0_na,494,13 02 00,14 02 00,1,sacarosa,agua,1,1,1541,70,0,0,33,8,1,0
unc_pool_4,1,2023 06 03,na_na_na_na,0_0_na,495,13 03 00,14 02 00,2,sacarosa,agua,1,1,1022,32,0,0,24,6,0.5,0
unc_pool_4,1,2023 06 03,na_na_na_na,0_0_na,496,13 03 00,14 02 00,3,sacarosa,agua,1,1,6038,65,0,0,95,4,2,0
unc_pool_4,1,2023 06 03,na_na_na_na,0_0_na,497,13 04 00,14 02 00,4,sacarosa,agua,1,1,16,11,0,0,2,2,0,0
unc_pool_4,1,2023 06 03,na_na_na_na,0_0_na,498,14 23 00,15 25 00,1,sacarosa,agua,1,1,65,15,0,0,7,3,0,0
unc_pool_4,1,2023 06 03,na_na_na_na,0_0_na,499,14 24 00,15 25 00,2,sacarosa,agua,1,1,124,31,0,0,5,2,0.5,0
unc_pool_4,1,2023 06 03,na_na_na_na,0_0_na,500,14 24 00,15 25 00,3,sacarosa,agua,1,1,731,28,0,0,23,5,1,0
unc_pool_4,1,2023 06 03,na_na_na_na,0_0_na,501,14 24 00,15 25 00,4,sacarosa,agua,2,1,25,17,0,0,2,3,0,0
unc_pool_4,2,2023 06 04,na_na_na_na,0_0_na,494,13 00 00,14 00 00,1,agua,sacarosa,1,1,52,1834,0,0,5,56,0,1
unc_pool_4,2,2023 06 04,na_na_na_na,0_0_na,495,13 00 00,14 01 00,2,agua,sacarosa,1,1,79,3083,0,0,12,75,0.5,3
unc_pool_4,2,2023 06 04,na_na_na_na,0_0_na,496,13 00 00,14 01 00,3,agua,sacarosa,1,2,46,3834,0,0,5,88,0,1
unc_pool_4,2,2023 06 04,na_na_na_na,0_0_na,497,13 01 00,14 02 00,4,agua,sacarosa,1,1,115,1793,0,0,12,46,0,1.5
unc_pool_4,2,2023 06 04,na_na_na_na,0_0_na,498,14 15 00,15 15 00,1,agua,sacarosa,1,1,51,2108,0,0,8,43,0.5,1
unc_pool_4,2,2023 06 04,na_na_na_na,0_0_na,499,14 15 00,15 15 00,2,agua,sacarosa,1,1,41,1313,0,0,4,32,0,0.5
unc_pool_4,2,2023 06 04,na_na_na_na,0_0_na,500,14 16 00,15 16 00,3,agua,sacarosa,1,1,51,2331,0,0,6,60,0,3
unc_pool_4,2,2023 06 04,na_na_na_na,0_0_na,501,14 16 00,15 16 00,4,agua,sacarosa,1,2,28,259,0,0,2,10,0,0.5
unc_pool_4,3,2023 06 05,na_na_na_na,0_0_na,494,13 00 00,14 00 00,1,sacarosa,agua,1,1,3040,181,0,0,73,12,2,0
unc_pool_4,3,2023 06 05,na_na_na_na,0_0_na,495,13 00 00,14 00 00,2,sacarosa,agua,1,1,3468,113,0,0,72,11,1,0
unc_pool_4,3,2023 06 05,na_na_na_na,0_0_na,496,13 00 00,14 00 00,3,sacarosa,agua,1,2,2700,82,0,0,79,8,2,0
unc_pool_4,3,2023 06 05,na_na_na_na,0_0_na,497,13 00 00,14 00 00,4,sacarosa,agua,1,1,1804,47,0,0,63,8,2,0
unc_pool_4,3,2023 06 05,na_na_na_na,0_0_na,498,14 15 00,15 18 00,1,sacarosa,agua,1,1,1430,84,0,0,34,10,1,0
unc_pool_4,3,2023 06 05,na_na_na_na,0_0_na,499,14 15 00,15 18 00,2,sacarosa,agua,1,1,1920,42,0,0,52,5,2.5,0
unc_pool_4,3,2023 06 05,na_na_na_na,0_0_na,500,14 15 00,15 18 00,3,sacarosa,agua,1,1,2581,16,0,0,66,3,2,0
unc_pool_4,3,2023 06 05,na_na_na_na,0_0_na,501,14 15 00,15 18 00,4,sacarosa,agua,1,1,232,18,0,0,19,3,0.5,0
unc_pool_4,4,2023 06 06,na_na_na_na,0_0_na,494,13 00 00,14 00 00,1,agua,sacarosa,1,1,327,3344,0,0,15,79,1,2
unc_pool_4,4,2023 06 06,na_na_na_na,0_0_na,495,13 00 00,14 00 00,2,agua,sacarosa,1,1,159,5223,0,0,11,120,0,2.5
unc_pool_4,4,2023 06 06,na_na_na_na,0_0_na,496,13 00 00,14 00 00,3,agua,sacarosa,1,1,112,4476,0,0,8,99,0,3
unc_pool_4,4,2023 06 06,na_na_na_na,0_0_na,497,13 00 00,14 00 00,4,agua,sacarosa,1,2,86,3128,0,0,10,82,0,2
unc_pool_4,4,2023 06 06,na_na_na_na,0_0_na,498,14 18 00,15 19 00,1,agua,sacarosa,5,1,17,1970,1,0,3,47,0,2
unc_pool_4,4,2023 06 06,na_na_na_na,0_0_na,499,14 18 00,15 21 00,2,agua,sacarosa,1,1,59,2628,0,0,6,74,0,2.5
unc_pool_4,4,2023 06 06,na_na_na_na,0_0_na,500,14 19 00,15 21 00,3,agua,sacarosa,1,1,5,191,0,0,1,6,0,0
unc_pool_4,4,2023 06 06,na_na_na_na,0_0_na,501,14 19 00,15 21 00,4,agua,sacarosa,1,1,70,2766,0,0,8,74,0,2
unc_pool_4,5,2023 06 07,na_na_na_na,0_0_na,494,13 00 00,14 00 00,1,sacarosa,agua,1,1,3652,260,0,0,97,12,3,1
unc_pool_4,5,2023 06 07,na_na_na_na,0_0_na,495,13 00 00,14 00 00,2,sacarosa,agua,1,1,6080,41,0,0,109,41,3,0
unc_pool_4,5,2023 06 07,na_na_na_na,0_0_na,496,13 00 00,14 00 00,3,sacarosa,agua,1,1,4667,85,0,0,102,6,3,0
