Experiment,ID,init_date,end_date,n_days,n_weeks,uncertainty_start,uncertainty_end,12h_dark_period_start,group,notes
uncertainty_A,234,2021-08-25,2021-10-17,53,7.57142857142857,2021-09-07,2021-10-15,12.00,treatment,
uncertainty_A,235,2021-08-25,2021-10-17,53,7.57142857142857,2021-09-07,2021-10-15,12.00,treatment,
uncertainty_A,236,2021-08-25,2021-10-17,53,7.57142857142857,2021-09-07,2021-10-15,12.00,treatment,
uncertainty_A,243,2021-08-25,2021-10-17,53,7.57142857142857,2021-09-07,2021-10-15,12.00,control,
uncertainty_A,244,2021-08-25,2021-10-17,53,7.57142857142857,2021-09-07,2021-10-15,12.00,control,
uncertainty_A,245,2021-08-25,2021-10-17,53,7.57142857142857,2021-09-07,2021-10-15,12.00,treatment,
uncertainty_A,246,2021-08-25,2021-09-04,10,1.42857142857143,2021-09-07,2021-10-15,12.00,control,"animal no se alimenta, por puntaje supervision se eutanasia"
uncertainty_A,263,2021-08-25,2021-10-17,53,7.57142857142857,2021-09-07,2021-10-15,12.00,control,
uncertainty_A,264,2021-08-25,2021-10-17,53,7.57142857142857,2021-09-07,2021-10-15,12.00,control,
uncertainty_A,265,2021-08-25,2021-10-17,53,7.57142857142857,2021-09-07,2021-10-15,12.00,treatment,
