ID,date,weight,group,experimental_phase,rel_date
413,2022-09-21,25.83,Uncertainty,Baseline,0
414,2022-09-21,26.41,No-Uncertainty,Baseline,0
415,2022-09-21,25.1,No-Uncertainty,Baseline,0
416,2022-09-21,23.87,Uncertainty,Baseline,0
417,2022-09-21,24.27,Uncertainty,Baseline,0
418,2022-09-21,24.5,Uncertainty,Baseline,0
419,2022-09-21,24.33,Uncertainty,Baseline,0
420,2022-09-21,25,No-Uncertainty,Baseline,0
421,2022-09-21,24.96,No-Uncertainty,Baseline,0
422,2022-09-21,24.27,No-Uncertainty,Baseline,0
413,2022-09-23,25.55,Uncertainty,Baseline,2
414,2022-09-23,25.77,No-Uncertainty,Baseline,2
415,2022-09-23,25.13,No-Uncertainty,Baseline,2
416,2022-09-23,24.47,Uncertainty,Baseline,2
417,2022-09-23,24.33,Uncertainty,Baseline,2
418,2022-09-23,24.58,Uncertainty,Baseline,2
419,2022-09-23,23.86,Uncertainty,Baseline,2
420,2022-09-23,24.3,No-Uncertainty,Baseline,2
421,2022-09-23,24.1,No-Uncertainty,Baseline,2
422,2022-09-23,24.1,No-Uncertainty,Baseline,2
413,2022-09-26,25.4,Uncertainty,Baseline,5
414,2022-09-26,25,No-Uncertainty,Baseline,5
415,2022-09-26,24.63,No-Uncertainty,Baseline,5
416,2022-09-26,25.51,Uncertainty,Baseline,5
417,2022-09-26,25,Uncertainty,Baseline,5
418,2022-09-26,24,Uncertainty,Baseline,5
419,2022-09-26,24.61,Uncertainty,Baseline,5
420,2022-09-26,23.83,No-Uncertainty,Baseline,5
421,2022-09-26,24.96,No-Uncertainty,Baseline,5
422,2022-09-26,23.65,No-Uncertainty,Baseline,5
413,2022-09-28,25.56,Uncertainty,Baseline,7
414,2022-09-28,26.06,No-Uncertainty,Baseline,7
415,2022-09-28,24.6,No-Uncertainty,Baseline,7
416,2022-09-28,25.26,Uncertainty,Baseline,7
417,2022-09-28,24.7,Uncertainty,Baseline,7
418,2022-09-28,24.1,Uncertainty,Baseline,7
419,2022-09-28,24.4,Uncertainty,Baseline,7
420,2022-09-28,24.56,No-Uncertainty,Baseline,7
421,2022-09-28,24.9,No-Uncertainty,Baseline,7
422,2022-09-28,24.1,No-Uncertainty,Baseline,7
413,2022-09-30,25.7,Uncertainty,Baseline,9
414,2022-09-30,26.7,No-Uncertainty,Baseline,9
415,2022-09-30,24.9,No-Uncertainty,Baseline,9
416,2022-09-30,24.87,Uncertainty,Baseline,9
417,2022-09-30,24.7,Uncertainty,Baseline,9
418,2022-09-30,24.2,Uncertainty,Baseline,9
419,2022-09-30,24.42,Uncertainty,Baseline,9
420,2022-09-30,25.1,No-Uncertainty,Baseline,9
421,2022-09-30,25.1,No-Uncertainty,Baseline,9
422,2022-09-30,24.6,No-Uncertainty,Baseline,9
413,2022-10-03,25.85,Uncertainty,Baseline,12
414,2022-10-03,27.04,No-Uncertainty,Baseline,12
415,2022-10-03,25.01,No-Uncertainty,Baseline,12
416,2022-10-03,25.43,Uncertainty,Baseline,12
417,2022-10-03,24.14,Uncertainty,Baseline,12
418,2022-10-03,23.79,Uncertainty,Baseline,12
419,2022-10-03,23.84,Uncertainty,Baseline,12
420,2022-10-03,24.5,No-Uncertainty,Baseline,12
421,2022-10-03,25.32,No-Uncertainty,Baseline,12
422,2022-10-03,25.1,No-Uncertainty,Baseline,12
413,2022-10-05,25.85,Uncertainty,Experimental,14
414,2022-10-05,26.9,No-Uncertainty,Experimental,14
415,2022-10-05,25.2,No-Uncertainty,Experimental,14
416,2022-10-05,25.03,Uncertainty,Experimental,14
417,2022-10-05,23.9,Uncertainty,Experimental,14
418,2022-10-05,23.03,Uncertainty,Experimental,14
419,2022-10-05,23.8,Uncertainty,Experimental,14
420,2022-10-05,24.2,No-Uncertainty,Experimental,14
421,2022-10-05,26.31,No-Uncertainty,Experimental,14
422,2022-10-05,24.6,No-Uncertainty,Experimental,14
413,2022-10-07,25.37,Uncertainty,Experimental,16
414,2022-10-07,26.72,No-Uncertainty,Experimental,16
415,2022-10-07,25.76,No-Uncertainty,Experimental,16
416,2022-10-07,24.88,Uncertainty,Experimental,16
417,2022-10-07,22.8,Uncertainty,Experimental,16
418,2022-10-07,23.1,Uncertainty,Experimental,16
419,2022-10-07,24.33,Uncertainty,Experimental,16
420,2022-10-07,24.3,No-Uncertainty,Experimental,16
421,2022-10-07,26.32,No-Uncertainty,Experimental,16
422,2022-10-07,24.69,No-Uncertainty,Experimental,16
413,2022-10-11,25.8,Uncertainty,Experimental,20
414,2022-10-11,26.5,No-Uncertainty,Experimental,20
415,2022-10-11,26.06,No-Uncertainty,Experimental,20
416,2022-10-11,24.77,Uncertainty,Experimental,20
417,2022-10-11,25.01,Uncertainty,Experimental,20
418,2022-10-11,24.64,Uncertainty,Experimental,20
419,2022-10-11,23.94,Uncertainty,Experimental,20
420,2022-10-11,24.92,No-Uncertainty,Experimental,20
421,2022-10-11,26.92,No-Uncertainty,Experimental,20
422,2022-10-11,25.16,No-Uncertainty,Experimental,20
413,2022-10-13,25.62,Uncertainty,Experimental,22
414,2022-10-13,26.75,No-Uncertainty,Experimental,22
415,2022-10-13,25.82,No-Uncertainty,Experimental,22
416,2022-10-13,24.7,Uncertainty,Experimental,22
417,2022-10-13,23.8,Uncertainty,Experimental,22
418,2022-10-13,24.66,Uncertainty,Experimental,22
419,2022-10-13,23.16,Uncertainty,Experimental,22
420,2022-10-13,25.18,No-Uncertainty,Experimental,22
421,2022-10-13,27.77,No-Uncertainty,Experimental,22
422,2022-10-13,25.44,No-Uncertainty,Experimental,22
413,2022-10-15,24.8,Uncertainty,Experimental,24
414,2022-10-15,26.7,No-Uncertainty,Experimental,24
415,2022-10-15,26.46,No-Uncertainty,Experimental,24
416,2022-10-15,25.35,Uncertainty,Experimental,24
417,2022-10-15,24.55,Uncertainty,Experimental,24
418,2022-10-15,23.96,Uncertainty,Experimental,24
419,2022-10-15,23.6,Uncertainty,Experimental,24
420,2022-10-15,25.4,No-Uncertainty,Experimental,24
421,2022-10-15,27.6,No-Uncertainty,Experimental,24
422,2022-10-15,25.8,No-Uncertainty,Experimental,24
413,2022-10-17,25.2,Uncertainty,Experimental,26
414,2022-10-17,27.11,No-Uncertainty,Experimental,26
415,2022-10-17,26.96,No-Uncertainty,Experimental,26
416,2022-10-17,27.6,Uncertainty,Experimental,26
417,2022-10-17,23.8,Uncertainty,Experimental,26
418,2022-10-17,24.2,Uncertainty,Experimental,26
419,2022-10-17,24.24,Uncertainty,Experimental,26
420,2022-10-17,25.6,No-Uncertainty,Experimental,26
421,2022-10-17,28.5,No-Uncertainty,Experimental,26
422,2022-10-17,25.28,No-Uncertainty,Experimental,26
413,2022-10-21,24.88,Uncertainty,Experimental,30
414,2022-10-21,26.59,No-Uncertainty,Experimental,30
415,2022-10-21,27.22,No-Uncertainty,Experimental,30
416,2022-10-21,24.66,Uncertainty,Experimental,30
417,2022-10-21,23.9,Uncertainty,Experimental,30
418,2022-10-21,24.14,Uncertainty,Experimental,30
419,2022-10-21,23.81,Uncertainty,Experimental,30
420,2022-10-21,26,No-Uncertainty,Experimental,30
421,2022-10-21,29,No-Uncertainty,Experimental,30
422,2022-10-21,26.6,No-Uncertainty,Experimental,30
413,2022-10-24,25.08,Uncertainty,Experimental,33
414,2022-10-24,26.5,No-Uncertainty,Experimental,33
415,2022-10-24,27.1,No-Uncertainty,Experimental,33
416,2022-10-24,24.7,Uncertainty,Experimental,33
417,2022-10-24,23.96,Uncertainty,Experimental,33
418,2022-10-24,24.2,Uncertainty,Experimental,33
419,2022-10-24,23.75,Uncertainty,Experimental,33
420,2022-10-24,25.6,No-Uncertainty,Experimental,33
421,2022-10-24,27.65,No-Uncertainty,Experimental,33
422,2022-10-24,26.56,No-Uncertainty,Experimental,33
413,2022-10-26,25.16,Uncertainty,Experimental,35
414,2022-10-26,27.6,No-Uncertainty,Experimental,35
415,2022-10-26,26.8,No-Uncertainty,Experimental,35
416,2022-10-26,25.1,Uncertainty,Experimental,35
417,2022-10-26,24.2,Uncertainty,Experimental,35
418,2022-10-26,24.2,Uncertainty,Experimental,35
419,2022-10-26,24.5,Uncertainty,Experimental,35
420,2022-10-26,25.1,No-Uncertainty,Experimental,35
421,2022-10-26,27.9,No-Uncertainty,Experimental,35
422,2022-10-26,26.5,No-Uncertainty,Experimental,35
413,2022-10-28,25.67,Uncertainty,Experimental,37
414,2022-10-28,27.3,No-Uncertainty,Experimental,37
415,2022-10-28,27.3,No-Uncertainty,Experimental,37
416,2022-10-28,26.4,Uncertainty,Experimental,37
417,2022-10-28,25.75,Uncertainty,Experimental,37
418,2022-10-28,24.6,Uncertainty,Experimental,37
419,2022-10-28,25.36,Uncertainty,Experimental,37
420,2022-10-28,25.53,No-Uncertainty,Experimental,37
421,2022-10-28,28.48,No-Uncertainty,Experimental,37
422,2022-10-28,26.8,No-Uncertainty,Experimental,37
413,2022-10-30,26.5,Uncertainty,Experimental,39
414,2022-10-30,28.8,No-Uncertainty,Experimental,39
415,2022-10-30,27.7,No-Uncertainty,Experimental,39
416,2022-10-30,26.63,Uncertainty,Experimental,39
417,2022-10-30,26.8,Uncertainty,Experimental,39
418,2022-10-30,23.9,Uncertainty,Experimental,39
419,2022-10-30,25.03,Uncertainty,Experimental,39
420,2022-10-30,26.97,No-Uncertainty,Experimental,39
421,2022-10-30,30.3,No-Uncertainty,Experimental,39
422,2022-10-30,27.3,No-Uncertainty,Experimental,39
413,2022-11-02,25.66,Uncertainty,Experimental,42
414,2022-11-02,28.26,No-Uncertainty,Experimental,42
415,2022-11-02,28.07,No-Uncertainty,Experimental,42
416,2022-11-02,26.24,Uncertainty,Experimental,42
417,2022-11-02,25.77,Uncertainty,Experimental,42
418,2022-11-02,24.83,Uncertainty,Experimental,42
419,2022-11-02,24.6,Uncertainty,Experimental,42
420,2022-11-02,25.66,No-Uncertainty,Experimental,42
